2023-05-23T09:34:54.333+05:00  INFO 20460 --- [http-nio-8085-exec-2] c.e.p.Service.ColorManagementService     : GETTING ALL COLORS
2023-05-23T09:34:54.338+05:00  INFO 20460 --- [http-nio-8085-exec-2] c.e.p.Service.ColorManagementService     : SUCCESSFULLY RETRIEVED ALL COLORS
2023-05-23T09:34:56.771+05:00  INFO 20460 --- [http-nio-8085-exec-4] c.e.p.Service.ColorManagementService     : GETTING ALL COLORS
2023-05-23T09:34:56.776+05:00  INFO 20460 --- [http-nio-8085-exec-4] c.e.p.Service.ColorManagementService     : SUCCESSFULLY RETRIEVED ALL COLORS
2023-05-23T09:35:00.906+05:00  INFO 20460 --- [http-nio-8085-exec-3] c.e.p.Service.ColorManagementService     : GETTING ALL COLORS
2023-05-23T09:35:00.911+05:00  INFO 20460 --- [http-nio-8085-exec-3] c.e.p.Service.ColorManagementService     : SUCCESSFULLY RETRIEVED ALL COLORS
2023-05-23T09:38:18.843+05:00  INFO 20460 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2023-05-23T09:38:33.217+05:00  INFO 20460 --- [http-nio-8085-exec-8] c.e.p.Service.ColorManagementService     : GETTING ALL COLORS
2023-05-23T09:38:33.224+05:00  INFO 20460 --- [http-nio-8085-exec-8] c.e.p.Service.ColorManagementService     : SUCCESSFULLY RETRIEVED ALL COLORS
2023-05-23T09:38:59.105+05:00  INFO 20460 --- [http-nio-8085-exec-9] c.e.p.Service.ColorManagementService     : GETTING ALL COLORS
2023-05-23T09:38:59.109+05:00  INFO 20460 --- [http-nio-8085-exec-9] c.e.p.Service.ColorManagementService     : SUCCESSFULLY RETRIEVED ALL COLORS
2023-05-23T09:41:08.413+05:00  INFO 20460 --- [http-nio-8085-exec-7] c.e.p.Service.ColorManagementService     : GETTING ALL COLORS
2023-05-23T09:41:08.417+05:00  INFO 20460 --- [http-nio-8085-exec-7] c.e.p.Service.ColorManagementService     : SUCCESSFULLY RETRIEVED ALL COLORS
2023-05-23T09:42:10.814+05:00  INFO 20460 --- [http-nio-8085-exec-1] c.e.p.Service.ColorManagementService     : GETTING ALL COLORS
2023-05-23T09:42:10.819+05:00  INFO 20460 --- [http-nio-8085-exec-1] c.e.p.Service.ColorManagementService     : SUCCESSFULLY RETRIEVED ALL COLORS
2023-05-23T09:43:18.849+05:00  INFO 20460 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
